CountyName,SMR (150m),IHR (150m),DHR (150m),Total (150m),% of SMR,% of IHR,% of DHR
ANTRIM,417,314,45,776,53.74,40.46,5.8
DOWN,294,192,172,658,44.68,29.18,26.14
LONDONDERRY,39,32,31,102,38.24,31.37,30.39
